,Term,Level,gene_count,num_pos,gene_name
1,GO:0000278,3,127,108,"ABL1, BIRC5, CDC25B, CENPC, CENPE, CENPF, CETN2, DCTN1, EDNRA, ENSA, HGF, IK, INCENP, KIF11, KIF22, LIPA, MYB, MYBL1, MYBL2, PPP1R12A, NDP, NEK2, PLK1, POLE, PPP2CA, PPP2CB, PPP5C, PTPN6, RAN, RNF2, CLIP1, STAT5B, AURKA, TBCD, TUBA4A, TUBB2A, TUBG1, XRCC2, TUBA1A, YEATS4, CLTCL1, BAP1, CDC23, PKMYT1, SMC3, AURKB, NOLC1, RECQL5, AKAP8, CCNO, TUBA1B, TUBB3, TUBB4A, TUBB4B, NDC80, TUBGCP3, TADA3, RGS14, ARPP19, TUBGCP2, CIT, WDHD1, CEP250, DCTN3, TPX2, ABRAXAS2, FBXL7, TUBG2, TUBGCP4, EML4, ANAPC11, TUBA8, NLE1, NRDE2, CDCA8, PBRM1, NUDT15, PPP2R2D, KIF15, AZI2, MCPH1, TUBAL3, CENPT, TUBB1, CDT1, SETDB2, HASPIN, TUBB6, TUBA1C, MASTL, TUBGCP6, NEK9, TUBA3E, CDCA5, TUBA3D, TUBGCP5, NEDD1, DIS3L2, KIF18B, TUBB, SKA1, SKA3, TUBB8, TUBB2B, SKA2, CENPW, WEE2, CDK11A"
2,GO:0000902,4,94,69,"RHOA, BCL6, CAPZB, CDH1, CDH2, CDH3, CDH4, CDH5, CDH8, CDH11, CDH13, CDH15, CDH17, CLU, COL6A1, MAPK14, DMRT1, ECT2, EPB42, FOSL2, GNAT2, GP1BA, NCKAP1L, HGF, IL7R, ILK, ITGB6, ITPR1, LIF, LIPA, MSX1, P2RX7, PLEC, MED1, RELN, PSMB10, SS18, STK4, TGFB2, UPK3A, VHL, WNT3, AP3B1, ARHGEF2, SART3, CERT1, LAMC3, KLF2, YAP1, CAP2, CAP1, NCKAP1, DKK1, CYFIP1, SCFD1, GREM1, CYFIP2, NOX4, SSH1, STRADB, THOC2, SHROOM3, WDR19, PRDM14, ARHGEF28, UNC93B1, MAEL, ASXL1, GJE1"
3,GO:0001501,5,127,103,"TLE5, ACAN, AHSG, ALPL, ARSL, BGLAP, BMP1, BMP2, BMP3, BMP5, BMP6, BMP7, BMP8B, CACNA1S, CDH11, CDKN1C, CMKLR1, COL1A1, COL1A2, COL2A1, COL5A2, COL9A2, COL10A1, COL11A2, COMP, HAPLN1, VCAN, NCAN, DLX5, DLX6, EPHA2, ETS2, EVC, EXTL1, FBN1, FGFR1, FGFR3, FRZB, GDF10, GLI2, GNA11, HEXA, HEXB, HOXA10, HOXC10, IGF1, IHH, INHA, JAG2, LECT2, MATN3, MMP9, MMP14, MMP16, NPR3, TNFRSF11B, PRDX1, PHEX, PITX1, PTH, PTHLH, PTH1R, RPL38, RPS6KA3, TRAPPC2, SHOX, SOX9, SPP2, TBX3, TCOF1, TEAD4, TGFB2, TGFBR1, TLL1, TRPS1, UFD1, USP1, ZIC3, TP63, CHRD, PAPSS1, NOG, EIF2AK3, ADAMTS4, GDF3, RASSF2, GDF11, FST, DLL3, CNMD, WDR5, PUM2, IFT25, BPNT2, CHD7, ASH1L, MEPE, ALX4, BCAN, COL18A1, WFIKKN2, SH3PXD2B, HAPLN4"
4,GO:0001503,2,77,61,"AHSG, ALOX15, ATP6V1B1, BCL2, BMP1, BMP5, BMP7, BMP8B, CALCA, CASR, RUNX2, RUNX1, RUNX3, CDH11, COL1A1, COL5A2, COL11A1, CCN2, DMP1, SLC26A2, EGFR, EXT1, EXT2, GDF2, GPLD1, GRP, LTF, SMAD1, MGP, MYF5, MYOG, NPPC, RPL38, SORT1, CLEC11A, SLC34A1, SP3, STATH, THRA, CLEC3B, TRAF6, TWIST1, FZD9, IFITM1, TNFSF11, TNFRSF11A, EIF2AK3, MINPP1, RASSF2, FSTL3, TCIRG1, MESD, SUN1, ATP6V0A4, SOST, PAM16, TWSG1, GFRA4, PPARGC1B, DHX36, BMP8A"
5,GO:0001508,4,19,18,"CHRNA4, CLN3, GNA11, GNA15, GNAQ, KCNB1, KCNC2, KCND2, KCNJ11, NDP, SRI, AKAP6, GNA14, ABCC9, KCNMB2, KCNMB3, KCNMB4, KCNIP2"
6,GO:0001558,5,72,60,"AGT, AGTR1, CEACAM1, CAMK2D, CISH, CRKL, MTOR, TNC, IGFBP3, IGFBP4, IGFBP5, IGFBP7, NUBP1, NPM1, PRKCQ, ROS1, SGK1, STK11, TSG101, BAP1, LTBP4, PTCH2, URI1, SOCS2, EBAG9, TAOK2, BCAR1, JADE3, ARHGEF11, KIF14, MUC12, SGK2, RASGRP2, NET1, PAK4, MAD2L2, NRG3, OGFR, KAT7, CLSTN1, JADE2, SGK3, TMEM97, LAMTOR2, ING4, LAMTOR1, IL17RB, CHPT1, PAK5, RPTOR, MEAF6, CDC73, JADE1, ITCH, BLTP1, DCUN1D5, ING5, EGLN2, NANOS1, CDK11A"
7,GO:0001649,4,123,112,"ADAR, AKT1, ALPL, AMELX, ATP5F1B, BGLAP, BMP2, BMP3, BMP4, BMP6, BMPR1A, BMPR1B, BMPR2, CAT, RUNX2, CBFB, COL1A1, COL6A1, MAPK14, VCAN, CTNNB1, CYP24A1, DHX9, DLX5, EPHA2, FBL, FASN, FGF2, FGF9, FHL2, FOSL2, GABBR1, GDF2, GDF10, GJA1, GLI1, GLI3, HNRNPC, HNRNPU, HSD17B4, HSPE1, TNC, IARS1, IBSP, ID4, IGF2, IGFBP3, IGFBP5, CCN1, IHH, JUNB, LOX, SMAD4, SMAD5, MEF2C, MEF2D, MSX2, MYOC, NF1, PENK, PHB1, MAPK11, MAP2K6, PSMC2, RPS15, RRBP1, CCL3, SFRP1, SNAI2, SMO, SNAI1, SOX2, SPP1, TPM4, HIRA, TWIST1, WNT10B, WNT11, AXIN2, SEMA7A, CCN4, DDX21, NOG, HAND2, MRC2, NR1I3, ALYREF, SYNCRIP, MYBBP1A, RRAS2, ITGA11, SNRNP200, DNAJC13, UFL1, GTPBP4, ASF1A, WWTR1, RSL1D1, SND1, RBMX, DHH, LEF1, SIRT7, WWOX, LGR4, CCDC47, IFT80, TP53INP2, WNT3A, CREB3L1, SP7, RSPO2"
8,GO:0001659,3,21,20,"ACADL, ACADVL, ADORA1, CIDEA, DRD1, DRD2, EDN2, FOXO1, HCRT, HTR2A, NTSR1, STAT3, TRPM2, SQSTM1, NMU, PPARGC1A, NOX3, NOD2, FTO, NAPEPLD"
9,GO:0001662,5,33,32,"ASIC1, ATP1A2, BCL2, COMT, BRINP1, DPP4, DRD1, DRD4, EIF4E, EIF4G1, GABRA5, GNG7, GRIK2, HTR1A, HTR2C, MDK, MECP2, NEUROD2, PENK, RPS6KB1, SLC1A1, NR2E1, VDAC1, VDAC3, PDE8B, LARGE1, MAPK8IP2, ASIC4, ALS2, USP46, FBXL20, LYPD1"
10,GO:0001666,5,170,163,"ABAT, ACVRL1, ADA, ADM, ADORA1, ADSL, AGER, ALAD, ALAS2, ANG, ANGPT2, APAF1, BIRC2, ARNT, ASCL2, ATM, BMP2, BNIP3, CA9, CAPN2, CASP3, CASP9, CAT, CAV1, CAV3, CBFA2T3, CD38, CHRNA4, CHRNA7, CHRNB2, COMT, CLDN3, CPT1A, CREBBP, CRYAB, CYP1A1, ACE, DIO3, DPP4, DRD2, EDNRA, EGR1, EP300, EPAS1, EPO, ERCC2, ERCC3, F7, PTK2B, VEGFD, FOSL2, HIF1A, HK2, HMOX2, HSD11B2, HSPG2, IL1A, ITGA2, ITPR1, ITPR2, KCNA5, KCNJ8, KCNJ11, KCNMA1, LEP, LIF, LOXL2, LTA, SMAD3, SMAD4, MB, MECP2, MMP2, MMP14, COX1, COX2, CYTB, MTHFR, ND1, ND2, ND4, ND5, MYB, NF1, NOS1, NOS2, NPPC, NR4A2, P2RX3, PENK, PGF, PIN1, PKLR, PLAT, PLAU, PLOD1, PLOD2, PML, PPARA, PRKAA1, PSEN2, RAD21, REST, RYR1, RYR2, CXCL12, SLC2A1, SLC6A4, SOD2, SOD3, SOX4, SRF, ADAM17, TEK, TFAM, TFRC, TGFB2, TGFB3, TGFBR3, TH, THBS1, TLR2, TNF, HSP90B1, UCP2, UCP3, USF1, VCAM1, VEGFB, VEGFC, XRCC1, CXCR4, FZD4, BECN1, LIMD1, PDLIM1, LONP1, ADIPOQ, ARNT2, CITED2, POSTN, SCAP, P2RX2, SCFD1, TXN2, ANGPTL4, DDIT4, EGLN1, ALKBH5, AGTRAP, NGB, TRPV4, HIF3A, CIAO3, WDR83, AJUBA, MYOCD, EGLN2, EGLN3, CYGB, WTIP, FUNDC1, CD24"
11,GO:0001678,5,25,23,"FOXO1, GCK, HIF1A, HK1, HK2, HK3, FOXA3, FOXK2, NGFR, PIK3R1, PIK3R2, STXBP3, ABCC8, NR1D1, CARTPT, NR1H4, PPARGC1A, SIRT1, LRRC8D, LRRC8A, NUCKS1, HKDC1, FOXK1"
12,GO:0001708,5,29,23,"APC, CTNNB1, FOXA2, IHH, PSEN1, SHH, SMO, SOX9, TBXT, TBX5, TBX6, TBX3, TEAD4, TBX4, APC2, TBR1, MGA, TBX21, DHH, CDON, TBX22, TBX20, PRDM14"
13,GO:0001709,5,18,13,"JAG1, GATA2, GATA3, HES1, MCL1, NOTCH2, NOTCH4, PAX2, PAX6, PTCH1, PTCH2, DLL1, CYP26B1"
14,GO:0001890,4,35,28,"ADA, ANG, BIRC2, ASCL2, CCNF, CDKN1B, MAPK14, DLX3, GJB3, HSD17B2, HSP90AB1, LEP, MAP3K4, MME, CITED1, NODAL, PPARG, PTK2, SOD1, PHLDA2, LHX3, ALKBH1, DNMT3L, RTCB, ETNK2, E2F8, LHX4, E2F7"
15,GO:0001894,4,24,21,"ACACA, BARD1, CD34, COL2A1, COL3A1, CCN2, P2RX4, RB1, SOX9, STK11, CUBN, BAP1, YAP1, TRIM32, WWTR1, PRLH, ERRFI1, TP53INP2, PRICKLE1, NANOS1, SCX"
16,GO:0001935,4,28,27,"APOA1, BMPR2, CAV1, CAV2, CD34, SCARB1, COL8A1, COL8A2, DLG1, ERN1, FGF2, FGF7, FGF10, HMOX1, LIPA, LOXL2, MMP14, NF1, PIK3CB, PRKX, TEK, TGFBR1, ZEB2, THAP1, PROK2, NOX5, PROK1"
17,GO:0001974,3,39,35,"ACVR2B, ACVRL1, JAG1, AGT, AGTR2, ATP7A, AXL, BAK1, BAX, BMPR2, CBS, DBH, ACE, EDNRA, EPAS1, EXT1, FGF8, FGF10, FOXC1, FLNA, RBPJ, LIF, MDM2, MEF2C, NDP, NOS3, NPPC, NPR2, NPR3, ATG5, SEMA3C, CRB1, DLL4, CHD7, RSPO3"
18,GO:0002009,5,20,16,"CA2, CA9, CRYGS, TNC, KRT6A, KRT16, SOX9, SOX10, TBX5, VCL, TIMELESS, NHERF1, TBX4, RIPK4, FRAS1, FREM2"
19,GO:0002021,5,17,13,"APOE, MAPK14, LEP, LIPA, SLC12A3, GDF3, PPARGC1A, STK39, PRLH, WNK4, TBL1XR1, SGIP1, ACVR1C"
20,GO:0002250,3,426,171,"ALCAM, ANXA1, ARG1, ARG2, TNFRSF17, PRDM1, BMX, BTK, CAMK4, CD1A, CD1B, CD1C, CD1E, CD3D, CD3E, CD3G, CD247, CD4, CD6, CD7, CD8A, CD8B, CD8B2, CD86, CD79A, CD79B, CSK, CTLA4, CTSH, CTSL, CTSS, CX3CR1, GPR183, PTK2B, FGA, FGB, FGL1, FYN, PDIA3, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DQB2, HLA-DRA, HLA-DRB5, HLA-E, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, IFNG, IFNW1, IL2, IL17A, ITK, JAK2, JAK3, KCNJ8, KLRC1, KLRC2, KLRD1, LAG3, LAIR1, LYN, SH2D1A, CD46, MICB, PDCD1, PIK3CD, PIK3CG, PRKCB, RAP1GAP, SIPA1, SLAMF1, SYK, TAP1, TEC, TFE3, TSC1, TXK, LAT2, ZAP70, TFEB, EOMES, SKAP1, TNFRSF14, RIPK2, TNFRSF11A, CD84, BCL10, TNFSF18, LILRB2, CLEC4M, RAPGEF3, LILRB1, LILRB5, LILRB4, LILRA1, LILRB3, RAPGEF4, BTN3A1, CD160, KLRK1, ICOSLG, TNFRSF13B, PRKD2, LAT, LAMP3, TNFRSF21, DBNL, CD274, CD209, TRAT1, CD244, ERAP1, TREM1, TRPM4, LAX1, RNF125, AKIRIN2, OTUB1, PAG1, CTNNBL1, IFNK, OTUD7B, MCOLN1, NOD2, ERAP2, DCLRE1C, LILRA6, VTCN1, BTNL8, PDCD1LG2, FBXO38, JAM3, CRACR2A, HAVCR2, ORAI1, SIGLEC10, CLEC6A, IL17F, TNFRSF13C, SH2D1B, RNF19B, BTLA, CLEC4C, MARCHF8, MCOLN2, IL4I1, CLEC4D, IFNE, THEMIS, EIF2AK4"
21,GO:0002376,1,43,31,"ADSS2, FCGR2A, HP, IRF8, INPPL1, IRF1, IRF2, IRF3, IRF4, IRF5, IRF7, KCNN4, OLR1, PSMA1, PSMB9, PTMS, SQSTM1, RUBCN, IRF9, DDX17, CD300C, PLD3, CHIA, YTHDF1, DCAF15, MYSM1, ADSS1, CD300LB, IDO2, CD300E, IL31"
22,GO:0002437,5,24,23,"CD68, FOSL2, HLA-DRB1, HMGB1, HMGB2, RBPJ, IL1RN, IL2RA, IL5RA, NOTCH1, NOTCH2, RASGRP1, CYSLTR1, TREX1, KDM6B, IL36RN, IL36B, IL37, IL36A, IL20RB, IL36G, IL25, IL1F10"
23,GO:0002456,5,16,14,"JAG1, C4BPA, CD8A, CD70, CR1, CR1L, CR2, GNL1, CD46, BTN3A3, BTN3A2, FOXP3, NFKBIZ, CLEC4G"
24,GO:0002682,3,41,14,"BCL6, CEACAM1, ORM1, ORM2, PIP, PSG1, PSG3, PSG4, PSG7, PSG9, ZBTB17, ZBTB33, PATZ1, BCL6B"
25,GO:0003016,3,16,12,"ADH5, COL6A1, FLT4, HOXA5, JAG2, NDN, RAB3A, AP3B1, HIPK2, SELENON, FKRP, CCBE1"
26,GO:0003091,5,18,16,"ADCY6, AKR1B1, AQP1, AQP2, ATP6V1B1, CYP4A11, CYP11B2, MYO5B, PRKACA, PRKACB, PRKACG, UMOD, WFS1, CYP4F2, AKAP11, CYP4F12"
27,GO:0003094,5,20,12,"AQP1, CD34, EDN1, EDNRA, MCAM, UMOD, NPHS2, SULF1, KIRREL1, TMEM63C, XPNPEP3, RHPN2"
28,GO:0003341,4,43,27,"DNAH5, DNAH9, CELSR2, DNAAF11, DNAI1, ZMYND10, HYDIN, CCDC40, ODAD2, DNAH7, CAMSAP3, DNAI2, DNAI4, RSPH6A, ODAD4, CFAP91, ODAD1, ODAD3, CFAP70, DNAAF1, PIERCE1, DNAAF6, DNAAF4, CFAP53, RSPH9, CCDC39, RSPH4A"
29,GO:0003351,5,21,18,"DNAH5, GAS8, SPAG6, DNAAF11, DNAH1, CABYR, DNAI1, STK36, SPA17, CCDC40, DNAAF2, KIF27, ADCY10, SPEF2, ROPN1L, DNAAF4, SPAG17, RSPH4A"
